Agent 0 positions over time:
  Step 189: x=-0.597, y=0.544, g_x=0.200, g_y=0.200
  Step 190: x=-0.571, y=0.531, g_x=0.200, g_y=0.200
  Step 191: x=-0.544, y=0.518, g_x=0.200, g_y=0.200
  Step 192: x=-0.514, y=0.505, g_x=0.200, g_y=0.200
  Step 193: x=-0.485, y=0.493, g_x=0.200, g_y=0.200
  Step 194: x=-0.454, y=0.482, g_x=0.200, g_y=0.200
  Step 195: x=-0.424, y=0.471, g_x=0.200, g_y=0.200
  Step 196: x=-0.394, y=0.461, g_x=0.200, g_y=0.200
  Step 197: x=-0.364, y=0.451, g_x=0.200, g_y=0.200
  Step 198: x=-0.335, y=0.441, g_x=0.200, g_y=0.200
  Step 199: x=-0.307, y=0.432, g_x=0.200, g_y=0.200
  Step 200: x=-0.279, y=0.423, g_x=0.200, g_y=0.200
  Step 201: x=-0.252, y=0.414, g_x=0.200, g_y=0.200
  Step 202: x=-0.226, y=0.406, g_x=0.200, g_y=0.200
  Step 203: x=-0.201, y=0.398, g_x=0.200, g_y=0.200
  Step 204: x=-0.178, y=0.390, g_x=0.200, g_y=0.200
  Step 205: x=-0.155, y=0.383, g_x=0.200, g_y=0.200
  Step 206: x=-0.133, y=0.375, g_x=0.200, g_y=0.200
  Step 207: x=-0.113, y=0.368, g_x=0.200, g_y=0.200
  Step 208: x=-0.093, y=0.362, g_x=0.200, g_y=0.200
  Step 209: x=-0.075, y=0.355, g_x=0.200, g_y=0.200
  Step 210: x=-0.057, y=0.349, g_x=0.200, g_y=0.200
  Step 211: x=-0.041, y=0.342, g_x=0.200, g_y=0.200
  Step 212: x=-0.025, y=0.336, g_x=0.200, g_y=0.200
  Step 213: x=-0.010, y=0.330, g_x=0.200, g_y=0.200
  Step 214: x=0.003, y=0.325, g_x=0.200, g_y=0.200
  Step 215: x=0.016, y=0.319, g_x=0.200, g_y=0.200
  Step 216: x=0.028, y=0.314, g_x=0.200, g_y=0.200
  Step 217: x=0.040, y=0.309, g_x=0.200, g_y=0.200
  Step 218: x=0.051, y=0.304, g_x=0.200, g_y=0.200
  Step 219: x=0.061, y=0.300, g_x=0.200, g_y=0.200
  Step 220: x=0.070, y=0.295, g_x=0.200, g_y=0.200
