n_targets,n_agents,time,targets_per_agent
190,7,0.46776580810546875,"[35, 39, 24, 19, 29, 16, 28]"
190,7,0.3314075469970703,"[36, 15, 23, 35, 27, 25, 29]"
190,7,0.3662436008453369,"[27, 18, 28, 21, 34, 36, 26]"
190,7,0.3163578510284424,"[26, 25, 33, 27, 24, 23, 32]"
195,7,0.29101085662841797,"[27, 23, 27, 22, 24, 38, 34]"
195,7,0.290569543838501,"[33, 21, 27, 32, 26, 27, 29]"
195,7,0.40743494033813477,"[21, 30, 20, 30, 27, 27, 40]"
195,7,0.41994619369506836,"[22, 19, 36, 28, 23, 21, 46]"
195,7,0.29704737663269043,"[30, 32, 21, 30, 31, 34, 17]"
200,7,0.31458139419555664,"[19, 33, 29, 29, 20, 36, 34]"
200,7,0.45030808448791504,"[24, 17, 36, 32, 41, 29, 21]"
200,7,0.39911413192749023,"[33, 27, 28, 31, 26, 30, 25]"
200,7,0.5274395942687988,"[20, 32, 41, 20, 34, 27, 26]"
200,7,0.4140787124633789,"[41, 21, 27, 35, 23, 29, 24]"
205,7,0.30887579917907715,"[29, 20, 33, 34, 29, 28, 32]"
205,7,0.2940685749053955,"[36, 35, 22, 28, 29, 31, 24]"
205,7,0.39174389839172363,"[30, 18, 33, 32, 34, 31, 27]"
205,7,0.3809652328491211,"[23, 36, 38, 25, 30, 26, 27]"
205,7,0.32250070571899414,"[23, 33, 25, 30, 25, 33, 36]"
210,7,0.38022494316101074,"[29, 34, 19, 34, 33, 32, 29]"
210,7,0.44054293632507324,"[32, 33, 32, 31, 33, 17, 32]"
210,7,0.47107982635498047,"[21, 27, 30, 31, 36, 39, 26]"
210,7,0.5182762145996094,"[19, 36, 33, 28, 21, 39, 34]"
210,7,0.6087679862976074,"[38, 21, 41, 34, 22, 32, 22]"
215,8,0.3703725337982178,"[26, 31, 27, 20, 40, 14, 37, 20]"
215,8,0.4181506633758545,"[32, 34, 20, 29, 24, 25, 27, 24]"
215,8,0.31308650970458984,"[28, 29, 24, 23, 24, 27, 27, 33]"
215,8,0.2869117259979248,"[27, 21, 30, 25, 29, 30, 23, 30]"
215,8,0.35893821716308594,"[30, 26, 22, 22, 20, 29, 28, 38]"
220,8,0.36328601837158203,"[23, 20, 25, 35, 25, 37, 27, 28]"
220,8,0.381211519241333,"[37, 27, 22, 22, 20, 29, 37, 26]"
220,8,0.26555562019348145,"[36, 22, 23, 31, 28, 34, 25, 21]"
220,8,0.3439059257507324,"[23, 24, 33, 36, 30, 33, 20, 21]"
220,8,0.31235504150390625,"[33, 19, 32, 25, 25, 29, 29, 28]"
225,8,0.34052014350891113,"[25, 29, 25, 30, 20, 35, 34, 27]"
225,8,0.4229440689086914,"[35, 24, 26, 31, 27, 30, 20, 32]"
225,8,0.3938925266265869,"[21, 23, 41, 38, 27, 22, 21, 32]"
225,8,0.38715100288391113,"[37, 25, 24, 16, 31, 25, 28, 39]"
225,8,0.44895219802856445,"[27, 37, 33, 28, 31, 31, 25, 13]"
230,8,0.4595170021057129,"[34, 22, 28, 24, 30, 28, 27, 37]"
230,8,0.4165990352630615,"[34, 32, 31, 24, 22, 31, 29, 27]"
230,8,0.4574613571166992,"[23, 26, 38, 32, 23, 22, 37, 29]"
230,8,0.45014429092407227,"[32, 32, 28, 18, 32, 34, 33, 21]"
230,8,0.4557335376739502,"[41, 18, 29, 28, 29, 37, 22, 26]"
235,8,0.5046727657318115,"[31, 35, 39, 33, 27, 18, 34, 18]"
235,8,0.3796982765197754,"[27, 35, 27, 30, 26, 27, 23, 40]"
235,8,0.4739689826965332,"[31, 32, 33, 30, 27, 28, 26, 28]"
235,8,0.4140608310699463,"[21, 28, 30, 30, 26, 40, 32, 28]"
235,8,0.45089077949523926,"[39, 30, 30, 25, 26, 28, 22, 35]"
240,8,0.5195658206939697,"[31, 31, 27, 31, 28, 23, 26, 43]"
240,8,0.4979386329650879,"[30, 26, 32, 19, 33, 36, 32, 32]"
240,8,0.533968448638916,"[40, 18, 29, 33, 25, 35, 28, 32]"
240,8,0.45240306854248047,"[25, 32, 42, 28, 39, 29, 23, 22]"
240,8,0.6005113124847412,"[30, 23, 42, 35, 33, 35, 23, 19]"
245,9,0.39540767669677734,"[20, 20, 30, 30, 32, 29, 28, 28, 28]"
245,9,0.5355324745178223,"[30, 34, 27, 19, 29, 18, 33, 26, 29]"
245,9,0.338702917098999,"[30, 24, 27, 24, 26, 28, 32, 28, 26]"
245,9,0.39403843879699707,"[25, 29, 36, 27, 27, 35, 20, 21, 25]"
245,9,0.3630650043487549,"[30, 27, 20, 31, 34, 24, 19, 28, 32]"
250,9,0.3650791645050049,"[29, 23, 29, 28, 25, 25, 23, 32, 36]"
250,9,0.4748539924621582,"[23, 29, 20, 33, 20, 37, 33, 29, 26]"
250,9,0.48205137252807617,"[22, 24, 34, 39, 19, 28, 27, 27, 30]"
250,9,0.42595553398132324,"[25, 25, 32, 25, 25, 36, 27, 35, 20]"
250,9,0.5328507423400879,"[20, 26, 33, 26, 25, 23, 27, 35, 35]"
255,9,0.5121796131134033,"[21, 31, 25, 28, 22, 41, 27, 34, 26]"
255,9,0.36610984802246094,"[23, 26, 29, 31, 20, 30, 32, 22, 42]"
255,9,0.4681529998779297,"[22, 21, 35, 32, 24, 24, 28, 39, 30]"
255,9,0.49474382400512695,"[20, 30, 27, 34, 34, 30, 23, 35, 22]"
255,9,0.45115041732788086,"[37, 31, 29, 30, 24, 29, 16, 22, 37]"
260,9,0.6016101837158203,"[27, 31, 25, 23, 50, 29, 19, 26, 30]"
260,9,0.5358552932739258,"[33, 28, 22, 36, 32, 38, 22, 27, 22]"
260,9,0.7025895118713379,"[27, 34, 35, 36, 31, 28, 20, 35, 14]"
260,9,0.5324962139129639,"[25, 30, 36, 23, 14, 36, 32, 41, 23]"
260,9,0.49096107482910156,"[25, 29, 34, 21, 35, 23, 26, 34, 33]"
265,9,0.45741844177246094,"[33, 27, 31, 31, 23, 39, 27, 35, 19]"
265,9,0.49853944778442383,"[34, 34, 26, 31, 25, 35, 20, 29, 31]"
265,9,0.5106959342956543,"[26, 32, 22, 36, 31, 23, 38, 35, 22]"
265,9,0.8262145519256592,"[34, 30, 26, 46, 16, 19, 38, 31, 25]"
265,9,0.6481103897094727,"[36, 27, 35, 26, 24, 27, 37, 31, 22]"
270,9,0.6083834171295166,"[41, 27, 31, 29, 27, 37, 32, 23, 23]"
270,9,0.5031013488769531,"[37, 29, 28, 23, 37, 24, 25, 38, 29]"
270,9,0.47492051124572754,"[35, 29, 38, 37, 34, 18, 28, 28, 23]"
270,9,0.5865466594696045,"[23, 33, 28, 28, 25, 41, 34, 29, 29]"
270,9,0.4921863079071045,"[31, 29, 28, 34, 27, 38, 29, 20, 34]"
275,10,0.5296626091003418,"[30, 7, 30, 21, 42, 32, 28, 35, 31, 19]"
275,10,0.5699462890625,"[26, 24, 28, 29, 27, 20, 33, 36, 30, 22]"
275,10,0.43381237983703613,"[25, 16, 28, 20, 39, 31, 17, 23, 34, 42]"
275,10,0.4496896266937256,"[32, 18, 37, 25, 26, 27, 25, 34, 23, 28]"
275,10,0.436779260635376,"[35, 31, 30, 26, 29, 27, 24, 29, 14, 30]"
280,10,0.479248046875,"[28, 36, 26, 26, 28, 27, 26, 30, 29, 24]"
280,10,0.5888264179229736,"[21, 32, 23, 30, 41, 27, 29, 26, 27, 24]"
280,10,0.5031437873840332,"[32, 20, 23, 33, 32, 30, 31, 34, 29, 16]"
280,10,0.584500789642334,"[29, 34, 29, 29, 20, 33, 23, 33, 20, 30]"
280,10,0.5923442840576172,"[24, 20, 41, 24, 26, 41, 25, 36, 14, 29]"
285,10,0.7314167022705078,"[44, 16, 15, 36, 19, 29, 37, 34, 28, 27]"
285,10,0.6353204250335693,"[27, 28, 33, 37, 18, 30, 32, 19, 42, 19]"
285,10,0.6883656978607178,"[29, 21, 23, 55, 20, 34, 24, 29, 25, 25]"
285,10,0.6678907871246338,"[46, 25, 38, 14, 21, 27, 34, 24, 33, 23]"
285,10,0.5038344860076904,"[31, 29, 24, 29, 21, 31, 28, 30, 34, 28]"
290,10,0.5448040962219238,"[29, 25, 28, 27, 32, 24, 31, 32, 31, 31]"
290,10,0.7293577194213867,"[16, 44, 27, 27, 36, 47, 29, 19, 26, 19]"
